Indice|Categoria|Marca|Descripcion|Precio
0|belleza|L'Oréal Paris|Crema Revitalift Laser Día |$14.999
1|belleza|Pantene|Shampoo Pro V Restauración Para Cabello Dañado|$3.490
2|belleza|Pantene|Crema Para Peinar Pro V Anti Frizz Hidratación Extrema |$2.489
3|belleza|Etre Belle|Crema Caviar Día |$29.999
4|belleza|Nivea|Crema Anti Edad Q10 Noche |$8.990
5|belleza|Lubriderm|Crema Reparación Intensiva  200 ml|$4.699
6|belleza|Neutrogena|Gel Limpiador Facial Pink Grapefruit Libre De Aceite |$6.399
7|belleza|Neutrogena|Exfoliante Facial Pink Grapefruit Libre De Aceite|$6.399
8|belleza|Neutrogena|Loción Hidratante Para Piel Sensible|$7.699
9|belleza|Neutrogena|Jabón Líquido Libre De Aceite|$6.099
10|belleza|Neutrogena|Crema Anti Edad Día Rapid Wrinkle Repair |$18.299
11|belleza|Neutrogena|Crema Anti Edad Noche Rapid Wrinkle|$18.299
12|belleza|Pantene|Acondicionador Pro V Para Brillo Extremo|$3.490
13|belleza|Pantene|Acondicionador Pro V Restauración Para Cabello Dañado|$3.499
14|belleza|Pantene|Crema Para Peinar Pro V Para Rizos Definidos |$2.489
15|belleza|Pantene|Shampoo Pro V Para Brillo Extremo |$3.490
16|belleza|Capilatis|Acondicionador Puro Rubio |$6.199
17|belleza|Nivea|Aclarado Noche |$4.499
18|belleza|Pielarmina|Estuche Crema Manos Keratina, Crema Parafina Y Lima |$2.999
19|belleza|Pielarmina|Estuche Crema Clinicaly Crema Manos |$4.999
20|belleza|Petrizzio|Estuche Crema Antioxidante Día Y Crema Antioxidante Noche |$6.199
21|belleza|St. Ives|Pack Crema Colágeno Y Crema Avena|$6.999
22|belleza|Petrizzio|Estuche Crema Q10 Día Y Crema Q10 Noche |$6.999
23|belleza|Petrizzio|Estuche Crema Acido Hyaluronic Día Y Crema Acido Hyaluronic Noche |$3.995
24|belleza|Nivea|Estuche 2 Cremas Body Ducha Y Toalla De Pelo  |$4.999
25|belleza|Eminence|Estuche Colonia Y Desodorante Spray Clásico |$6.990
26|belleza|Nivea|Estuche Crema Body Milk, Bb Cream Y Lip  |$14.990
27|belleza|Etienne|Estuche Crema Limpieza, Loción Tónica  Y Desmaquillante   |$3.999
28|belleza|Nivea|Estuche Crema Q10 Plus Día Y Crema Q10 Plus Noche |$10.499
29|belleza|Shakira|Estuche Fragancia Y  Desodorante Spray |$14.599
30|belleza|Nivea|Estuche 2 Cremas Cuerpo Reafirmante Q10 Plus Y Pareo  |$6.999
31|belleza|Etienne|Estuche Crema Manos Q10 Día Y Crema Noche |$2.999
32|belleza|Pamela Grant|Lapiz Delineador De Ojos Negro|$3.299
33|belleza|Agatha Ruiz de la Prada|Fragancia Gotas Color |$14.999
34|belleza|Agatha Ruiz de la Prada|Fragancia Beso  |$14.999
35|belleza|Agatha Ruiz de la Prada|Fragancia Love Love Love|$14.999
36|belleza|Antonio Banderas| Spirit Antonio Banderas Mujer|$19.999
37|belleza|Aveeno|Loción Hidratante Aroma Coco|$5.249
38|belleza|Aveeno|Loción Hidratante Aroma Lavanda|$5.599
39|belleza|Aveeno|Loción Hidratante Aroma Manzanilla|$5.249
40|belleza|Coral|Colonia Citrik Spray|$3.499
41|belleza|Coral|Colonia Love Spray|$3.499
42|belleza|Coral|Colonia Musk Spray|$3.499
43|belleza|Magic Retouch|Tintura Color Castaño Claro A Medio|$7.999
44|belleza|Magic Retouch|Tintura Color Castaño Oscuro|$7.999
45|belleza|Magic Retouch|Tintura Color Negro|$7.999
46|belleza|Magic Retouch|Tintura Color Rubio Claro A Medio|$7.999
47|belleza|Magic Retouch|Tintura Color Rubio Oscuro|$7.999
48|belleza|Elvive|Aceite Capilar Oleo Extraordinario |$5.999
49|belleza|L'Oréal Paris|Crema Revitalift Laser Día |$14.999
50|belleza|Axe|Estuche Desodorantes Spray 4 Unidades   |$4.990
51|belleza|Organix|Acondicionador Macadamia Oil|$5.999
52|belleza|Organix|Shampoo Keratina |$5.999
53|belleza|Organix|Acondicionador Keratina |$5.999
54|belleza|Organix| Serum Keratina|$6.499
55|belleza|Pamela Grant|Delineador De Ojos Líquido 000000|$3.199
56|belleza|Petrizzio|Polvo Bronceado Caribeño|$5.990
57|belleza|Petrizzio|Delineador De Larga Duración Color Marrón|$3.199
58|belleza|Natalie|Colonia Botanicals Aroma Frambuesa|$2.399
59|belleza|Nivea|Crema Corporal Remodeladora Para Unas Piernas Relajadas|$7.999
60|belleza|Pielarmina|Estuche Crema Humectante De Parafina Para Manos Y Crema Deuñas Y Cutículas|$4.399
61|belleza|Pielarmina|Pack Crema De Manos Y Crema De Rostro|$3.999
62|belleza|Pielarmina|Pack Cremas De Parafina Para Manos|$2.599
63|belleza|Pielarmina|Pack De Cremas Para Manos|$3.499
64|belleza|Beauty Secret|Pack Tratamientos Manos Y Pies|$6.990
65|belleza|Regalo|Bolsa De Regalos Belleza Y Cuidado|$1
66|belleza|Clin Skin|Toallita Húmeda Desmaquillante Y Limpiadora|$1.992
67|belleza|Pantene|Shampoo Pro V Fuerza Y Reconstrucción Para Cabello Dañado|$3.499
68|belleza|Pantene|Acondicionador 3 Minute Miracle Para Dar Fuerza Y Reconstrucción Al Cabello|$2.489
69|belleza|Pamela Grant|Lápiz De Cejas Brown Shape & Define|$3.999
70|belleza|Simond's|Crema Prenatal Con Centella Asiática|$4.999
71|belleza|Simond's|Crema Post Natal Para Pieles Distendidas|$5.199
72|belleza|L'Oréal Paris|Paleta De Rubor Amber Infallible|$9.990
73|belleza|Nivea|Crema Corporal Reafirmante|$3.999
74|belleza|Nivea|Toallitas Desmaquillantes Micelares |$2.490
75|belleza|Cluny|Toallitas Desmaquillantes Piel Seca Y Sensible|$1.799
76|belleza|Beauty Secret|Bs Luminous Make Up           |$11.992
77|belleza|Burt's Bees|Bálsamo Labial E Hidratante De Cutículas|$6.990
78|belleza|Adidas|Estuche Woman Fruity Rhythm|$8.999
79|belleza|Petrizzio|Estuche Dos Cremas Tratamiento Rostro|$7.990
80|belleza|Wild Code|Estuche De Cuidado Personal Para Hombre|$3.990
81|belleza|Lubriderm|Pack Dos Cremas Hidratantes|$7.990
82|belleza|Herbal Essences|Shampoo Renew Smooth Golden Moringa Oil |$5.999
83|belleza|Herbal Essences|Acondicionador Renew Smooth Golden Moringa Oil |$5.999
84|belleza|Herbal Essences|Shampoo Renew Moisture Rosemary & Herbs |$5.999
85|belleza|Herbal Essences|Acondicionador Renew Moisture Rosembary & Herbs|$5.999
86|belleza|Herbal Essences|Acondicionador Renew Strength Vitamin E & Cocoa Butter|$5.999
87|belleza|Sally Hansen|Esmalte Big Primer Base|$4.879
88|belleza|Sally Hansen|Esmalte De Uñas Fuchsi|$5.990
89|belleza|Paris Hilton|Estuche De Fragancias Miniatura|$19.999
90|belleza|Pamela Grant|Labial Líquido Col.Intense N04|$3.490
91|belleza|Pamela Grant|Labial Líquido Col.Intense N05|$3.490
92|belleza|Pamela Grant|Labia Líquido Col Intense N06|$3.490
93|belleza|Pamela Grant| Labial All Day N8 Violet|$3.490
