Indice|Categoria|Marca|Descripcion|Precio
0|bienestarsexual|Lifestyles|Preservativo Skyn Large|$4.499
1|bienestarsexual|Lifestyles|Preservativo Skyn Intense Feel|$4.999
2|bienestarsexual|Durex|Preservativo Sensitivo Ultra Delgado 3 unidades|$3.390
3|bienestarsexual|Durex|Preservativo Clasico  3 unidades|$2.233
4|bienestarsexual|Durex|Preservativo Sensitivo Delgado 3 unidades|$2.799
5|bienestarsexual|Durex|Preservativo Extra Seguro  3 unidades|$2.990
6|bienestarsexual|Durex|Preservativo Placer Prolongado  3 unidades|$3.079
7|bienestarsexual|Durex|Preservativo Placer Prolongado  6 Unidades|$8.499
8|bienestarsexual|Durex|Preservativo Clasico  6 Unidades|$5.999
9|bienestarsexual|Durex|Preservativo Extra Seguro  6 Unidades|$5.999
10|bienestarsexual|Durex|Preservativo Máximo Placer |$3.999
11|bienestarsexual|Lifestyles|Preservativo Skyn Extra  Lubricated|$4.499
12|bienestarsexual|Lifestyles|Preservativos De Latex Lubricados|$11.499
13|bienestarsexual|Lifestyles|Gel Lubricante Y Estimulante Omg|$7.999
14|bienestarsexual|Lifestyles|Anillo Vibrador Bentley Tres Velocidades De Placer|$6.999
15|bienestarsexual|Bentley|Gel  Lubricante íntimo Bentley Frutilla |$4.199
16|bienestarsexual|Bentley|Gel Lubricante Intimo Bentley Sabor  Vino|$4.299
17|bienestarsexual|Bentley|Gel Lubricante Intimo Bentley Clasico|$3.799
18|bienestarsexual|Bentley|Pack Gel Lubricante Intimo Bentley Clasico|$3.999
19|bienestarsexual|Durex|Anillo Vibrador Forma Diablillo |$7.499
20|bienestarsexual|One|Preservativo Vanish Pleasures Ultra Delgados |$2.499
21|bienestarsexual|One|Preservativo One Vanish Ultra Delgados |$9.699
22|bienestarsexual|One|Preservativo One Mixed Pleasures |$2.499
23|bienestarsexual|Xaluron|Lubricante Vaginal|$7.989
24|bienestarsexual|Durex|Durex Climax Mutuo X3 |$4.199
25|bienestarsexual|Durex|Preservativos Sorpresas Y Placer |$2.799
26|bienestarsexual|Lifestyles|Pack De Preservativos Skyn Y Dedo Vibrador |$9.299
27|bienestarsexual|Lifestyles|Preservativos Intense Feel|$8.999
28|bienestarsexual|Durex|Anillo Vibrador Play Vibrations|$6.599
29|bienestarsexual|Lifestyles|Preservativos Climax Control|$2.999
30|bienestarsexual|Lifestyles|Preservativos Orgazmax|$4.199
31|bienestarsexual|Lifestyles|Preservativos Turbo|$4.099
32|bienestarsexual|Yes!|Gel Lubricante Sabor Cherry|$6.990
33|bienestarsexual|Yes!|Gel Lubricante Hipoalergénico|$6.990
34|bienestarsexual|Yes!|Gel Lubricante Con Efecto Calor|$6.990
35|bienestarsexual|Lifestyles|Preservativo Lubricado Con Espermicida Evolution |$5.499
36|bienestarsexual|Lifestyles|Preservativos Lubricados Con Espermicida Happy|$5.102
37|bienestarsexual|Lifestyles|Preservativos Lubricado Con Espermicida Passion|$5.102
38|bienestarsexual|Lifestyles|Preservativos Lubricado Con Espermicida Wild|$5.102
39|bienestarsexual|Yes!|Estimulante Sexual Con Efecto Frío Mujer |$6.990
40|bienestarsexual|Durex|Preservativo Real Feel Sensitivo Delgado|$4.190
41|bienestarsexual|Yes!|Gel Estimulante Y Lubricante Sexual Sabor Chocolate Menta|$6.990
42|bienestarsexual|Trojan|Trojan Lubricated/Clásico De 3 Uni 3 unidades|$4.999
43|bienestarsexual|Trojan|Trojan Magnum Lubricated De 3 Uni 3 unidades|$4.990
44|bienestarsexual|Trojan|Trojan Bareskin / Piel Desnuda De 3 Uni 3 unidades|$4.999
45|bienestarsexual|Trojan|Trojan Naked Sensation / Ectasy 3 S|$4.990
46|bienestarsexual|Trojan|Trojan™ Ultra Thin De 3 Uni 3 unidades|$4.999
47|bienestarsexual|Trojan|Fire & Ice 10 uni|$9.990
48|bienestarsexual|Trojan|Naked Sen.Her Pleasur|$9.990
49|bienestarsexual|Trojan|Fire & Ice 3 uni|$4.990
50|bienestarsexual|Trojan| Lubricante Explore |$8.999
51|bienestarsexual|Trojan| Lubricante H2 O Aloe Vera|$12.999
52|bienestarsexual|Trojan|Lubricante H2 O Closer |$12.990
53|bienestarsexual|LIFESTYLES|Ultra Sensible Nuda|$39.999
54|bienestarsexual|LIFESTYLES|Vibra Ribbed Stimula|$39.999
55|bienestarsexual|LIFESTYLES|Studded Rough Rider|$67.000
56|bienestarsexual|Lifestyles|Preservativos Skyn 6 Unidades  6 Unidades|$8.999
57|bienestarsexual|Lifestyles|Preservativos Skyn 2 Unidades  2 unidades|$4.199
58|bienestarsexual|Lifestyles|Presevativos Large 12 Uni 12 unidades|$7.999
59|bienestarsexual|Lifestyles|Preservativos Nuda 3 Uni 3 unidades|$2.999
60|bienestarsexual|Lifestyles|Preservativos Stimula De 3 Unidades 3 unidades|$2.999
61|bienestarsexual|Lifestyles|Preservativos Rough Rider De 3 Unidades 3 unidades|$2.999
62|bienestarsexual|Lifestyles|Preservativos Forte De 12 Unidades 12 unidades|$7.999
63|bienestarsexual|Lifestyles|Preservativos Forte De 3 Unidades 3 unidades|$2.999
