Indice|Categoria|Marca|Descripcion|Precio
0|cuidadopersonal|H2O|Set Tratamiento Corporal Sea Salt  Must Haves|$15.099
1|cuidadopersonal|Listerine|Listerine® Cuidado Total|$6.899
2|cuidadopersonal|Carefree|Protector Diario Sin Perfume |$2.974
3|cuidadopersonal|Carefree|Protectores Diarios Largos Con Perfume 40 unidades|$1.830
4|cuidadopersonal|Carefree|Protectores Diarios Neutralizador Olores 100 unidades|$2.974
5|cuidadopersonal|Hawaiian Tropic|Aceite Bronceador Tanning Oil  Spf15 |$6.990
6|cuidadopersonal|Hawaiian Tropic|Aceite Bronceador Tanning Oil  Spf6 |$8.990
7|cuidadopersonal|Australian Gold|Aceite Bronceador Intensivo Exotic Oil |$11.999
8|cuidadopersonal|Australian Gold|Loción Aceleradora Del Bronceado Con Hidratante Intensivo 125 Ml|$5.990
9|cuidadopersonal|Millionaire|Estuche Colonia Gold Y Desodorante Spray |$7.990
10|cuidadopersonal|Nivea|Estuche Espuma De Afeitar, After Shave Y Necessaire |$6.190
11|cuidadopersonal|Gillette|Estuche Máquina De Afeitar Mach3 Y 2 Repuestos |$4.840
12|cuidadopersonal|Gillette|Estuche Espuma De Afeitar Fórmula Uno Y Prestobarba  |$6.190
13|cuidadopersonal|Nexcare|Pocket Gel Nexcare® Aloe Vera|$2.099
14|cuidadopersonal|Nivea|Antitranspirante Roll On Pearl Beauty 50ml|$2.490
15|cuidadopersonal|Nivea|Antitranspirante Roll On Double Effect |$2.490
16|cuidadopersonal|Hawaiian Tropic|After Sun Cool |$6.990
17|cuidadopersonal|Skin Bracer|After Shave Grand Blue |$4.299
18|cuidadopersonal|Nosotras|Tampón Súper Plus Con Aplicador|$2.699
19|cuidadopersonal|Nivea|Bloqueador De Bolsillo Spf30 |$2.599
20|cuidadopersonal|Nivea|Bloqueador De Bolsillo Para Niños Spf50 |$2.599
21|cuidadopersonal|Fittig|Talco Refrescante Pies |$4.599
22|cuidadopersonal|Kotex|Toalla Higiénica Ultrafina Con Alas  8 unidades|$1.590
23|cuidadopersonal|Aveeno|Jabón Líquido Aroma Lavanda|$5.499
24|cuidadopersonal|Carefree|Protectores Diarios Para Todo Tipo De Ropa Interior 60 Unidades|$2.099
25|cuidadopersonal|Elite|Pañuelos Desechables Triple Hoja|$1.499
26|cuidadopersonal|Ladysoft|Protectores Diarios Tela Suave|$3.190
27|cuidadopersonal|Listerine|Enjuague Bucal Anticaries 250 ml|$3.599
28|cuidadopersonal|Listerine|Enjuague Bucal Anticaries 500 ml|$6.899
29|cuidadopersonal|Tena|Toallas Femeninas Para Goteos Permanentes|$9.399
30|cuidadopersonal|Listerine|Enjuague Bucal Control Sarro  500 ml|$6.899
31|cuidadopersonal|Listerine|Enjuague Bucal Zero Menta Suave 500 ml|$5.899
32|cuidadopersonal|Listerine|Enjuague Bucal Zero Menta Suave 250 ml|$3.599
33|cuidadopersonal|Listerine|Enjuage Bucal Coolmint 500 ml|$5.899
34|cuidadopersonal|Nosotras| Tampón Súper Con Aplicador|$2.699
35|cuidadopersonal|Nosotras|Tampón Regular Con Aplicador|$2.699
36|cuidadopersonal|Nosotras|Toallas Higiénicas Ultra Invisible De 10 Unidades 10 Unidades|$1.599
37|cuidadopersonal|Nosotras|Protectores Diarios Normal Tela Suave De 100 Unidades 100 unidades|$2.999
38|cuidadopersonal|Nosotras|Toallas Higiénicas Buenas Noches De 20 Unidades 20 Unidades|$2.299
39|cuidadopersonal|Cotidian|Apósitos Para Incontinencia Leve 20 Unidades |$2.989
40|cuidadopersonal|Cotidian|Sabanillas Para Proteger Camas U Otras Superficies|$4.190
41|cuidadopersonal|Cotidian|Pañal Premium Para Adulto Talla G 24 Unidades|$19.349
42|cuidadopersonal|L'Oréal Paris|Leche Fundente Autobronceadora Sublime Bronze|$9.099
43|cuidadopersonal|Adidas|Fragancia Team Force De Hombre|$6.999
44|cuidadopersonal|Old Spice|Desodorante Antitranspirante Old Spice Fresh |$2.999
45|cuidadopersonal|Old Spice|Desodorante Vip  En Spray Para Curerpo|$2.999
46|cuidadopersonal|Old Spice|Desodorante En Spray  Fresh|$2.999
47|cuidadopersonal|Old Spice|Desodorante En Spray Wolfthorn|$2.999
48|cuidadopersonal|Agua Brava|Perfume Agua Brava|$14.999
49|cuidadopersonal|Antonio Banderas|Perfume De Hombre Diavolo |$15.999
50|cuidadopersonal|Nivea|Pack Bálsamo De Afeitar + Espuma De Afeitar|$6.490
51|cuidadopersonal|Nivea|Pack Bálsamo + Espuma De Afeitar|$5.990
52|cuidadopersonal|Tena|Ropa Interior Desechable De Mujer Para Incontinencia, Talla M. M|$8.599
53|cuidadopersonal|Cruz Roja Chilena|Parche Curita|$990
54|cuidadopersonal|Amopé|Pack Lima Electrónica Para Pies Y Loción Hidratante|$29.999
55|cuidadopersonal|Antonio Banderas|Perfume Diavolo De Hombre|$7.999
56|cuidadopersonal|Nivea|Pack Deo Sensitive Y Crema Afeitar Sensitive |$4.299
57|cuidadopersonal|Nivea|Pack Espuma De Afeitar Y After Shave|$5.399
58|cuidadopersonal|Nivea|Pack De Desodorantes Protect & Care|$3.999
59|cuidadopersonal|Nivea|Pack De Desoderantes Men Sensitive Protect |$3.999
60|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes Ultrafino|$4.299
61|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes Suave Para Uso Anual|$3.990
62|cuidadopersonal|Sunwork|Bloqueador En Crema Fps50|$20.999
63|cuidadopersonal|Nivea|Crema Corporal Bajo La Ducha Soft|$4.599
64|cuidadopersonal|L'Oréal Paris|Spray Autobronceante Facial|$6.999
65|cuidadopersonal|Oral-B|Enguaje Bucal Menta Refrescante |$2.990
66|cuidadopersonal|Oral-B|Hilo Dental Menta Fresca|$3.990
67|cuidadopersonal|Oral-B|Pastal Dental Con Flúor|$1.999
68|cuidadopersonal|Oral-B|Pack De Cepillos De Dientes Suave|$3.999
69|cuidadopersonal|Oral-B|Pack De Dos Pastas Dentales Menta Refrescante|$2.999
70|cuidadopersonal|Nosotras|Protectores Diarios Normal Tela Suave De 160 Unidades 160 unidades|$3.399
71|cuidadopersonal|Sandtan|Protector Solar Fps50+ Para Niños Y Adultos|$1.599
72|cuidadopersonal|Wahl|Afeitadora Nasal |$9.999
73|cuidadopersonal|Brut|Estuche Que Incluye Espuma De Afeitar Y After Shave|$7.599
74|cuidadopersonal|Piero Butti|Estuche Eau De Toilette Y Gel After Shave|$2.995
75|cuidadopersonal|Wild Code|Estuche De Cuidado Personal Para Hombre|$3.990
76|cuidadopersonal|Schick|Set De Cartuchos Para Máquina De Afeitar Femenina|$3.399
77|cuidadopersonal|Brancato|Acqua Gel After Shave|$4.999
78|cuidadopersonal|Axe|Desodorante Body Spray Women Anarchy |$2.590
79|cuidadopersonal|St. Ives|Crema Fresh Skin Apricot Scrub|$4.490
80|cuidadopersonal|Dove|Antitranspirante En Spray Serum Aclarant Hipolaergénico|$4.990
81|cuidadopersonal|Dove|Antitranspirante En Spray Serum Aclarant Renovador|$4.990
82|cuidadopersonal|Pepsodent|Pack De 3 Pastas Dentales Protección Anticaries |$2.999
83|cuidadopersonal|Veet|Sensitive Touch Depilador Eléctrico |$15.999
84|cuidadopersonal|MiaLuna|Copa Menstrual Verde L|$17.999
85|cuidadopersonal|MiaLuna|Copa Menstrual Blanca M|$17.999
86|cuidadopersonal|MiaLuna|Copa Menstrual Blanca L|$17.999
