Indice|Categoria|Marca|Descripcion|Precio
0|infantilymama|Lanopure|Crema Prenatal Antiestrias Lanopure 150 Gr  150gr|$12.999
1|infantilymama|St. Ives|Pack Crema Colágeno Elastina Y Crema Reafirmante   |$5.099
2|infantilymama|Simond's|Estuche Colonia Ben 10  |$2.990
3|infantilymama|Simond's|Estuche Colonia Ben 10 Y Jabón Líquido|$4.999
4|infantilymama|Simond's|Estuche Recién Nacido Aceite Infantil, 1ra.Colonia, Baby  Wash, Emulsionado Y Gloss |$6.290
5|infantilymama|Hello Kitty|Neceser Pavo Real  |$4.599
6|infantilymama|Nivea|Estuche Crema Q10 Plus Reafirmante, Crema Good Bye Celulitis Y Masajeador  |$5.999
7|infantilymama|Maam|Crema Prenatal  230 grs|$22.990
8|infantilymama|Maam|Crema Prenatal  110 grs|$14.999
9|infantilymama|Maam|Crema Reafirmante 200 Grs|$14.599
10|infantilymama|Maam|Gel Para Pezones |$10.199
11|infantilymama|Barbie|Gel De Ducha |$2.999
12|infantilymama|Hello Kitty|Pack Loción Corporal Y Jabón Líquido |$3.899
13|infantilymama|Simond's|Estuche Simple Pink (Emulsionado, Shampoo Y Loción)|$3.990
14|infantilymama|Titanio|Vaso Con Bombilla Minions Sport|$1.999
15|infantilymama|Peppa Pig|Vaso Con Bombilla Peppa Pig|$1.999
16|infantilymama|Bubble Bag|Bolso Inflable  1 uni|$3.990
17|infantilymama|Bubble Bag|Bolso Inflable  no esta|$3.990
18|infantilymama|Bubble Bag|Bolso Inflable  #05A29B|$3.990
19|infantilymama|Lanopure|Crema Prenatal Antiestrias Lanopure 150 Gr  200 grs|$18.499
20|infantilymama|Emuwipes|Toallitas Húmedas Para Bebés Pack 80 Uni C/U |$2.190
21|infantilymama|Huggies|Toallitas Húmedas Huggies Disney Para Niño #0c006d|$2.390
22|infantilymama|Nestlé|Frut Oso Sabor Mix Tropical|$799
23|infantilymama|Emuglos|Emugloss Pomada Coceduras De 75gr 35 grs|$2.099
24|infantilymama|Huggies|Toallitas Húmedas Huggies Disney Para Niña #F66386|$2.390
25|infantilymama|Pediasure|Complemento Nutricional Para Niños Sabor Frutilla Frutilla|$18.590
26|infantilymama|Pediasure|Complemento Nutricional Para Niños Sabor Chocolate Chocolate|$18.590
27|infantilymama|Nido|Pack Nido Instantáneo De 1600grs Más Regalo|$9.390
28|infantilymama|Promise|Complemento Nutricional Promise Pe Gold Sabor A Vainilla|$17.599
29|infantilymama|Calo|Leche Infantil Purita Cereal Fortificada|$4.099
30|infantilymama|Calo|Leche Entera Instantánea En Polvo|$9.199
31|infantilymama|Calo|Leche Purita Fortificada Con Vitamina C, Hierro, Zinc Y Cobre|$4.799
32|infantilymama|Calo|Leche Semidescremada En Polvo Crecer Para Niños De 1 Año En Adelante|$4.999
33|infantilymama|Medela|Sacaleche Manual Harmony|$36.999
34|infantilymama|No Lice|Colet Contra Pediculosis|$5.588
35|infantilymama|Similac|Pack De Fórmula Para Lactantes De Continuación|$24.990
36|infantilymama|Similac|Fórmula Para Lactantes De Seguimiento|$17.999
37|infantilymama|Oral-B|Pack De Cepillos Dentales Diseño Princesas|$3.999
38|infantilymama|Eucerin|Crema De Cuidado Intensivo Da Control|$14.599
39|infantilymama|Nexcare|Parches Para Evitar Ampollas En El Talón|$4.299
40|infantilymama|Suavinex|Sacaleche Manual |$6.999
41|infantilymama|Soy Luna|Estuche Nail Art Para Niñas|$6.499
42|infantilymama|Hello Kitty|Estuche De Baño Diseño Ironman |$4.999
43|infantilymama|Spiderman|Estuche De Baño Spiderman|$4.999
44|infantilymama|Soy Luna|Set De Esmaltes De Soy Luna|$4.999
45|infantilymama|Frutillita|Set Beauty Soy Luna|$4.299
46|infantilymama|Frutillita|Set De Manicure Para Niñas|$4.299
47|infantilymama|Bambino|Set De Gorro Y Mitones Para Bebé|$4.099
48|infantilymama|Disney|Colonia Spray Para Niñas|$2.999
49|infantilymama|Babysec|Trajes De Baño Desechables |$3.990
50|infantilymama|Huggies|Pack Baby Shower 100 Primeros Días|$14.990
51|infantilymama|Babyland|Colonia Hipoalergénica Piel Sensible  210 ml|$1.290
52|infantilymama|Colgate|Pasta De Dientes Infantil Minions|$3.199
53|infantilymama|Colgate|Pack De Cuidado Bucal Minions |$2.490
54|infantilymama|Pepsodent|Pack Cuidado Bucal Infantil|$3.099
55|infantilymama|Itzy|Estuche De Fragancia Y Collet Elásticos|$6.999
56|infantilymama|Soy Luna|Desenredante Sin Enjuague |$2.799
57|infantilymama|My Little Pony|Desenredante Sin Enjuague Diseño My Little Pony|$2.199
58|infantilymama|Lunch`n Bag|Lonchera Térmica Gris Oscuro|$4.999
59|infantilymama|Lunch`n Bag|Lonchera Térmica Print Naranja|$4.999
60|infantilymama|Lunch`n Bag|Lonchera Térmica Print Sandías |$4.999
61|infantilymama|Lunch`n Bag|Lonchera Térmica Print Perros|$4.999
62|infantilymama|Lunch`n Bag|Lonchera Térmica Print Flamencos|$4.999
63|infantilymama|Lunch`n Bag|Lonchera Térmica Print Flores|$4.999
64|infantilymama|Huggies|Pack De Toallitas Húmedas Simply Clean|$4.399
65|infantilymama|Babyland|Pack De Toallitas Húmedas Con Aloe Vera|$2.399
66|infantilymama|Nido|Leche Forticrece Sin Lactosa|$12.490
67|infantilymama|Gelatti|Estuche Shampooo 2 D Y Esponja De Capitán América |$3.999
68|infantilymama|Gelatti|Set De 3 Esmaltes Y Espejo De Soy Luna|$5.999
69|infantilymama|Huggies|Toallitas Húmedas One&Done |$1.590
70|infantilymama|Smiley Kids|Puré De Manzana, Camote Y Zanahoria|$990
71|infantilymama|Smiley Kids|Puré De Manzana, Plátano, Arandano|$990
72|infantilymama|Smiley Kids|Puré De Zapallo, Zanahoria Y Quinoa|$990
73|infantilymama|Smiley Kids|Puré De Pera, Plátano Y Mango|$990
74|infantilymama|Altomin|Complemento Nutricional Sabor Vainilla|$6.989
75|infantilymama|Huggies|Pañales Natural Care Ajuste Perfecto Para Niña|$6.989
76|infantilymama|Huggies|Pañales Natural Care Ajuste Perfecto Para Niño|$6.990
77|infantilymama|Pampers|Pañales Premium Care Xxg X128|$30.989
78|infantilymama|Gelatti|Shampoo 3 En 1 Toy Story |$2.990
79|infantilymama|Gelatti|Shampoo Soy Luna|$2.699
80|infantilymama|Gelatti|Acondicionador Soy Luna |$2.999
81|infantilymama|Gelatti|Colonia Paw Patrol|$3.199
82|infantilymama|Gelatti|Colonia Soy Luna|$2.990
83|infantilymama|Gelatti|Estuche Colonia Avengers|$3.199
84|infantilymama|Gelatti|Shampoo 3 En 1 2 D Paw Patrol |$2.399
85|infantilymama|Nan|Nan 3 Optipro Junior X2|$17.990
86|infantilymama|Nan|Pack Nan 3 Lc 3 X |$21.999
87|infantilymama|Twistshake |Procesador De Alimentos 6 En 1 Blanco|$169.999
88|infantilymama|Twistshake |Procesador De Alimentos 6 En 1 Negro|$169.990
89|infantilymama|Guateros de Semillas|Guatero De Semillas Sloth |$4.999
90|infantilymama|Guateros de Semillas|Guatero De Semillas Panda|$4.999
91|infantilymama|Guateros de Semillas|Guatero De Semillas Duck|$4.999
92|infantilymama|Guateros de Semillas|Guatero De Semilla/ Peluches Animales|$4.999
93|infantilymama|LEBLON|Protector Solar Baby&Kids F50 |$6.999
94|infantilymama|LEBLON|Protector Solar Baby&Kids F50 |$5.999
95|infantilymama|LEBLON|Protector Solar Baby&Kids F50+|$1.889
96|infantilymama|MAM|Conejo Cuidado Bucal Recién Nacido|$8.999
97|infantilymama|MAM|Cepillo Dental Entrenamiento 5+Meses|$5.499
