Indice|Categoria|Marca|Descripcion|Precio
0|medicamentos|Arnikaderm|Arnica 10% Topico Semisolido|$8.999
1|medicamentos|Medicasp|Ketoconazol 1% Sh.|$9.499
2|medicamentos|Loceryl|Amorolfina 5% Topico Líquido|$25.499
3|medicamentos|Bion Transit|Alimento Con Probióticos|$18.099
4|medicamentos|Oscillococcinum|Anaes Barbarie 1 Ml/100 G Oral Solido|$6.799
5|medicamentos|Cotibin|Antigripal Noche Oral Polvo Solido|$990
6|medicamentos|Cotibin|Antigripal Dia Oral Polvo Solido|$990
7|medicamentos|Sevedol|Acido Acetilsalicilico / Cafeina / Paracetamol Oral Solido|$3.495
8|medicamentos|Dirtop|Sildenafil 50 Mg Oral Solido|$1.499
9|medicamentos|Dirtop|Sildenafil 50 Mg Oral Solido|$11.799
10|medicamentos|Dirtop|Sildenafil 50 Mg Oral Solido|$14.499
11|medicamentos|Naspira|Aspirador Nasal Oral Para Niños Y Bebés |$12.999
12|medicamentos|Kitadol Forte|Paracetamol Oral Solido|$1.899
13|medicamentos|Arthrozeel|Antiartritico Homeopatico Oral Solido|$13.499
14|medicamentos|Gastricumeel|Trat.Gastritis Meteorismo Pirosis Homeopatico Oral Solido|$17.599
15|medicamentos|Lymphomyosot|Regulador Linfatico Homeopatico Oral Gtas.|$18.199
16|medicamentos|Gaviscon|Antiacidos Oral Solido|$3.699
17|medicamentos|Gaviscon|Antiacidos Oral Solido|$3.399
18|medicamentos|Aloelax|Tratamiento Laxante De 24 Cápsulas|$7.499
19|medicamentos|Ibuprofeno|Ibuprofeno 100 Mg/5 Ml Oral Liquido|$2.599
20|medicamentos|Vintix|Antidiarréico De 250mg De 10 Unidades|$9.999
21|medicamentos|Launol|Shampoo 120ml      |$6.999
22|medicamentos|Latisse|Bimatoprost 0.03% Topico Oft.Liquido|$55.499
23|medicamentos|Ibupirac|Ibuprofeno 600 Mg Oral Solido|$7.299
24|medicamentos|Egogyn|Vitamina E 400 Ui Oral Solido|$4.599
25|medicamentos|Egogyn|Vitamina E 1000 Ui Oral Solido|$10.999
26|medicamentos|Microdacyn|Antisepticos Calmantes Top.Liquido|$6.999
27|medicamentos|Biogaia Probioticos|Probioticos Flora Intestinal Oral Gtas|$22.999
28|medicamentos|Xaluron Procto|Xaluron Procto|$9.899
29|medicamentos|Allergika| Loción Corporal Lipolotio Sensitive|$16.599
30|medicamentos|Allergika| Hidrotolio Corporal Sensitive|$15.599
31|medicamentos|Allergika|Crema Contorno De Ojos|$18.099
32|medicamentos|Pasurta|Solución Inyectable 70 Mg/1m L|$202.499
33|medicamentos|DENTOXOL|Dentoxol|$108.099
34|medicamentos|ETEROVAL |Eteroval 12 O Mg|$12.299
35|medicamentos|HELVECIA PHARMA|Karga B12|$21.899
36|medicamentos|ABECIDIN|Abecidin Acd Gtas.X30ml|$7.299
37|medicamentos|BLEPHADEMODEX|Blephademodex |$22.999
38|medicamentos|Gmate|Monitor Ios|$28.999
39|medicamentos|Endometrin|Endometrin 100mg X21 Com|$34.999
40|medicamentos|SIMILASAN|Optidry|$7.499
41|medicamentos|SIMILASAN|Optipink|$7.499
42|medicamentos|SIMILASAN|Allergy|$7.499
43|medicamentos|Aspen|Tabletas Antiacidas Phillips|$3.099
44|medicamentos|Cerciora T|Cerciora T (B) 1.5mg X1 Com.|$16.999
45|medicamentos|Neuropron|Neuropron Ft 20 Mg X30 Com.Buc.|$50.999
