Indice|Categoria|Marca|Descripcion|Precio
0|mundomascotas|Fiprokill|Antipulgas En Spray Para Perros Y Gatos De 250ml. 250 ml|$24.599
1|mundomascotas|Frontline|Solución Antipulgas Al 0.25% En Spray De 250ml 250 ml|$22.499
2|mundomascotas|GarboAnimals|Spray Bucal Para El Aliento|$5.299
3|mundomascotas|Traper|Shampoo Aloe Vera |$3.299
4|mundomascotas|Frontline|Antiparasitario En Pipeta Para  Gatos|$9.699
5|mundomascotas|Frontline|Antiparasitario Para Perros De 10 A 20kg.|$9.699
6|mundomascotas|Frontline|Antipulgas Para Perros De 20 A 40kg.|$18.099
7|mundomascotas|Frontline|Solución Antipulgas Al 0.25% En Spray De 100ml 100 ml|$12.999
8|mundomascotas|Frontline|Antiparasitario Para Perros De 10kg Frontline Plus|$9.499
9|mundomascotas|Frontline|Antiparasitario Para Perros De 20 A 40kg|$18.999
10|mundomascotas|Frontline|Antiparasitario Para Perros De 40 A 60kg.|$23.999
11|mundomascotas|Frontline|Pipeta Antipulgas Para Gatos|$9.499
12|mundomascotas|Frontline|Antiparasitario Para Perros De 10kg Frontline Topspot|$9.699
13|mundomascotas|Artriofin|Antiimflamatorio Para Osteoartritis Canina|$12.199
14|mundomascotas|Bovical|Complemento Alimentario En Base A Minerales|$14.999
15|mundomascotas|Bovifort|Antiparasitario Inyectable|$6.999
16|mundomascotas|Calcidog|Complemento Alimentario En Base A Minerales Y Vitaminas|$7.999
17|mundomascotas|Canish|Shampoo Balsámico Para Perros|$3.499
18|mundomascotas|Canish|Shampoo Espuma En Seco Para Perros|$3.499
19|mundomascotas|Canish|Shampoo Para Perros Hipoalergénico|$3.299
20|mundomascotas|Catti|Collar Antipulgas Para Gatos|$2.499
21|mundomascotas|Ceftidrag|Antimicrobiano Inyectable De Amplio Espectro Para Bovinos Y Cerdos|$26.999
22|mundomascotas|Condrovet|Complemento Adicional Para Perros|$16.399
23|mundomascotas|Cortidrag|Tratamiento Contra Queratoconjuntivitis Infecciosa Bovina|$10.499
24|mundomascotas|Diarrepas|Suspensión Antidiarreica Para Perros Y Gatos|$7.799
25|mundomascotas|Doguican|Collar Antipulgas Para Perros|$2.399
26|mundomascotas|Dorazel|Shampoo Antipulgas Para Perros Al 1%|$4.099
27|mundomascotas|Doximicin|Tratamiento Para Infecciones Respiratorias Perros Y Gatos|$8.299
28|mundomascotas|Dragoxilo|Tratamiento Para Infecciones Cutáneas|$15.499
29|mundomascotas|Febrectal|Analgésico Inyectable Para Bovinos Y Cerdos|$24.999
30|mundomascotas|Febrectal|Analgésico Inyectable Para Equinos|$24.999
31|mundomascotas|Fiprodrag|Antiparasitario Contra Pulgas Para Gatos |$8.899
32|mundomascotas|Fiprodrag|Antiparasitario Contra Pulgas Para Perros De 10kg.|$7.399
33|mundomascotas|Fiprodrag|Antiparasitario Contra Pulgas Para Perros De 10 A 20kg.|$8.999
34|mundomascotas|Fiprodrag|Antiparasitario Contra Pulgas Para Perros De 20 A 40kg.|$12.999
35|mundomascotas|Fiprokill|Antipulgas En Spray Para Perros Y Gatos De 100ml. 100 ml|$11.999
36|mundomascotas|FLT|Shampoo Antiséptico Para Perros Y Gatos|$7.399
37|mundomascotas|Heprotec|Estimulante Del Apetito En Jarabe|$7.899
38|mundomascotas|Juvecan|Complemento Alimenticio En Base A Vitaminas Para Perros|$9.999
39|mundomascotas|Lombrinic|Tratamiento Con Parásitos Al 10%|$12.999
40|mundomascotas|Mamistop|Sustituto De La Leche Para Gatos |$6.199
41|mundomascotas|Mamistop|Sustituto Lácteo Para Perros|$7.199
42|mundomascotas|Matihorse|Gel Tópico Para Caballos|$26.199
43|mundomascotas|Naxpet|Analgésico Al 0.4% Para Perros Y Gatos|$8.199
44|mundomascotas|Naxpet|Analgésico En Comprimidos 10mg  Para Perros Y Gatos|$5.299
45|mundomascotas|Oftavet|Solución Oftálmica En Gotas|$16.799
46|mundomascotas|Panvermic|Desparasitantes Para Perros|$8.599
47|mundomascotas|Sinpul|Antiparasitario En Polvo|$3.499
48|mundomascotas|Sinpul|Antiparasitario Para Perros En Polvo|$2.799
49|mundomascotas|Sinpul|Antipulgas Y Garrapatas Para Perros|$6.499
50|mundomascotas|Sinpul|Antiparasitario En Shampoo Para Perros|$4.999
51|mundomascotas|Sinpul Spot|Antipulgas Y Garrapatas Para Perros (Raza Grande)|$6.999
52|mundomascotas|Sinpul Spot|Antipulgas Y Garrapatas Para Perros (Pequeña)|$4.299
53|mundomascotas|Sinpulkill|Antiparasitario Para Perros|$2.499
54|mundomascotas|Sir Dog|Shampoo Realzante Del Pelaje Blanco Para Perros|$5.399
55|mundomascotas|Superpet|Complejo Nutricional Para Perros|$5.099
56|mundomascotas|Superpet|Omega 6:3 Para Perros|$4.199
57|mundomascotas|Tidy|Shampoo En Seco Para Pelaje Blanco|$2.499
58|mundomascotas|Traper|Spray Lavanda Eco|$4.499
59|mundomascotas|Traper|Neutralizador De Olores |$4.599
60|mundomascotas|Traper|Spray Outdoor Repelente De Pulgas|$4.499
61|mundomascotas|Traper|Shampoo Espuma Seca Gato|$3.999
62|mundomascotas|Traper|Shampoo Espuma Seca Perro|$3.299
63|mundomascotas|Traper|Shampoo Neutro Perro|$3.299
64|mundomascotas|Traper|Shampoo Pieles Sensibles Eco|$4.499
65|mundomascotas|Traper|Shampoo Repelente Eco|$4.499
66|mundomascotas|Traper|Tapete Higiénico|$6.999
67|mundomascotas|Traper|Toallas Húmedas Mascotas |$2.999
68|mundomascotas|Fainvet|Cepillo Autolimpiable 3916051|$8.999
69|mundomascotas|Fainvet|3916049 Cepillo Carda |$9.399
70|mundomascotas|Fainvet|Educador Sanitario Puppy Triner|$2.499
71|mundomascotas|Fainvet|Eliminador De Olor Orina Gato|$2.999
72|mundomascotas|Fainvet|Juguete De Perro Surtido 2|$5.199
73|mundomascotas|Fainvet|Juguete De Perro Surtido 1|$3.899
74|mundomascotas|Fainvet|Juguete De Perro Surtido 3|$4.999
75|mundomascotas|Fainvet|Peine Deslanador L Von Go|$14.999
76|mundomascotas|Fainvet|Plato Inox Mediano|$1.799
77|mundomascotas|Fainvet|Plato Inox Grande|$3.599
