Indice|Categoria|Marca|Descripcion|Precio
0|wellness|Sportlab|E Amino 2200 De 120 Cápsulas|$22.799
1|wellness|Sportlab|Whey Matrix Chocolate 2270 grs|$57.999
2|wellness|Sportlab|Whey Matrix Chocolate 908 grs|$34.699
3|wellness|Sportlab|Whey Matrix Cookies |$57.999
4|wellness|Ultimate Nutrition|Creatine Monohyd Micron |$15.999
5|wellness|Futuro|Soporte Rotuliano Ajustable Futuro|$8.999
6|wellness|Futuro|Cabestrillo Adulto Ajustable|$9.799
7|wellness|Futuro|Muñequera Ajustable|$5.999
8|wellness|Futuro|Soporte Codo Tenista|$8.999
9|wellness|Futuro|Estabilizador De Rodilla Ajustable|$6.499
10|wellness|Futuro|Tobillera Ajustable|$13.999
11|wellness|Futuro|Muñequera Ajustable Férula Reversible|$13.899
12|wellness|Ultimate Nutrition|Bcaa 500mg |$19.999
13|wellness|Vitamin Life|Vitamin C 500 De 60 Tabletas|$4.999
14|wellness|Bion|Multivitamínico Para Estimular El Sistema Inmune|$13.299
15|wellness|Bion Transit|Alimento Con Probióticos|$18.099
16|wellness|Bion|Multivitamínico Masticable Infantil|$10.099
17|wellness|Ensure|Complemento Alimenticio Advance Vainilla 850 Gr |$19.599
18|wellness|Metamucil|Fibra Psyllium. Alivio Para El Estreñimiento.|$12.499
19|wellness|Metamucil|Complemento Alimenticio Contra El Estreñimiento, El Colesterol Y  Los Trigliceridos Sabor Naranja|$22.999
20|wellness|Omron|Balanza Digital|$26.999
21|wellness|Omron| Balanza Fitness Premium |$117.999
22|wellness|Omron|Monitor De Grasa Corporal|$58.299
23|wellness|Helty|Guaraná De 60 Cápsulas|$8.999
24|wellness|Infor pro|Complemento Alimenticio Enriquecido Con Vitaminas|$10.799
25|wellness|Infortin|Probiótico Masticable|$10.999
26|wellness|Nutrasure|Fórmula Nutricional Sabor Frutilla|$10.999
27|wellness|Manare|Aceite De Coco Orgánico 250 ml|$5.999
28|wellness|Manare|Aceite De Coco Orgánico 500 ml|$8.999
29|wellness|Naturalist|Endulzante Granulado Para Repostería|$6.499
30|wellness|Accu-Chek|Cinta Para Medición De Glicemia De 25 Unidades 25 Cintas|$20.999
31|wellness|Accu-Chek|Cintas Reactivas Para Medición De Glucosa De 25 Cintas 25 Cintas|$29.999
32|wellness|Helty| Caramelos De Propóleo Miel Zero|$1.089
33|wellness|Helty|Caramelos De Propóleo Miel/Mentol Zero |$1.089
34|wellness|Garden House|Hidrolágeno Q10 |$20.999
35|wellness|D`vida|Complemento Vitamina D3|$17.999
36|wellness|Elcal Kid|Complemento De Calcio Infantil|$12.299
37|wellness|Vitamin Life|Probiocol|$10.990
38|wellness|Sweetea|Té Detox Con Stevia|$3.099
39|wellness|Helty|Caramelos De Propóleo Miel |$1.089
40|wellness|Helty|Propóleo De Miel/Eucaliptus En Caramelos|$1.089
41|wellness|Nexcare|Parches Para Evitar Ampollas En El Talón|$4.299
42|wellness|Vitamin Life|Aceite De Coco, Super Foods De 230gr. 212 grs|$7.599
43|wellness|Vitamin Life|Aceite De Coco, Super Foods De 500gr. 460 grs|$9.999
44|wellness|Senssun|Balanza Digital Con Sistema Bluetooth|$25.999
45|wellness|Sweetea|Té  De Flores Manzanila Con Stevia|$3.099
46|wellness|Vitamin Life|Toalla De Microfibra |$2.999
47|wellness|Vitamin Life|Cloruro De Magnesio De 90 Cápsulas|$8.499
48|wellness|Vitamin Life|Daily Biotic Intime De 30 Cápsulas|$12.999
49|wellness|Vitamin Life|Daily Biotic Aller|$8.997
50|wellness|Bio True|Solución De Limpieza Para Lentes De Contacto De 300ml. 300 ml|$8.999
51|wellness|Ultimate Nutrition|Carnebolic Chocolate  870 grs|$39.299
52|wellness|Vitamin Life|Nutricosmetics Coconut Oil En Cápsulas|$16.999
53|wellness|Vitamin Life|Nutricosmetics Nutri Complex H|$9.999
54|wellness|Vitamin Life|Nutricosmetics Leg Complex    |$9.999
55|wellness|Vitamin Life|Nutricosmetics Collagen & Maqui|$16.999
56|wellness|Vitamin Life|Nutricosmetics Revitalizing Acondicionador|$5.999
